id,fk_m_firewall,fk_m_run_token,fw_current_time,fw_days_uptime,fw_uptime,fw_number_of_users,fw_load_avg_1_min,fw_load_avg_5_min,fw_load_avg_15_min,created_at,deleted_at,anomaly
1,2,24,13:29:02.0000000,3,23:48:00.0000000,1,0.03,0.11,0.37,2024-09-24 13:29:24.010,,-1
3,2,25,13:31:07.0000000,3,23:50:00.0000000,1,0.08,0.1,0.34,2024-09-24 13:31:28.157,,-1
5,2,26,13:33:15.0000000,3,23:52:00.0000000,1,0.28,0.15,0.32,2024-09-24 13:33:35.993,,-1
6,2,27,13:37:24.0000000,3,23:56:00.0000000,1,0.29,0.17,0.28,2024-09-24 13:37:45.407,,-1
8,2,28,13:39:18.0000000,3,23:58:00.0000000,1,0.11,0.15,0.26,2024-09-24 13:39:39.713,,-1
10,2,29,13:40:10.0000000,3,23:59:00.0000000,1,0.16,0.15,0.25,2024-09-24 13:40:31.907,,-1
12,2,30,13:41:31.0000000,4,00:01:00.0000000,1,0.51,0.25,0.28,2024-09-24 13:41:52.253,,-1
14,2,31,13:50:10.0000000,4,00:09:00.0000000,1,1.13,0.81,0.54,2024-09-24 13:50:31.950,,-1
16,2,32,14:09:23.0000000,4,00:28:00.0000000,1,0.06,0.2,0.39,2024-09-24 14:09:44.490,,-1
18,2,34,14:20:37.0000000,4,00:40:00.0000000,1,0.92,0.6,0.45,2024-09-24 14:20:57.990,,-1
20,2,35,14:22:21.0000000,4,00:41:00.0000000,1,0.89,0.69,0.49,2024-09-24 14:22:42.517,,-1
22,2,36,14:23:15.0000000,4,00:42:00.0000000,1,0.71,0.68,0.5,2024-09-24 14:23:36.587,,-1
24,2,37,16:04:30.0000000,4,02:24:00.0000000,1,0.69,0.67,0.47,2024-09-24 16:04:50.567,,-1
30,2,41,10:10:16.0000000,4,20:29:00.0000000,1,0.75,0.37,0.19,2024-09-25 10:10:35.430,,-1
32,2,42,10:14:51.0000000,4,20:34:00.0000000,1,0.72,0.55,0.32,2024-09-25 10:15:10.687,,-1
34,2,43,10:16:43.0000000,4,20:36:00.0000000,1,0.93,0.7,0.4,2024-09-25 10:17:02.447,,-1
36,2,45,10:27:36.0000000,4,20:47:00.0000000,1,0.76,0.77,0.6,2024-09-25 10:27:55.207,,-1
38,2,46,10:30:34.0000000,4,20:50:00.0000000,1,0.18,0.52,0.53,2024-09-25 10:30:53.677,,-1
40,2,47,10:32:04.0000000,4,20:51:00.0000000,1,0.12,0.42,0.49,2024-09-25 10:32:23.403,,-1
42,2,49,10:35:48.0000000,4,20:55:00.0000000,1,0.08,0.26,0.41,2024-09-25 10:36:07.223,,-1
52,2,54,15:03:25.0000000,5,01:22:00.0000000,1,0.28,0.46,0.47,2024-09-25 15:03:44.220,,-1
54,2,55,15:04:16.0000000,5,01:23:00.0000000,1,0.25,0.42,0.45,2024-09-25 15:04:35.280,,-1
